id,name,year,domain,kind,n_events,sig_local,sig_global,sig_rel,prior_type,outcome,t_res_yr,route,indep_comparable,item_rel,notes,few_event,resolved,real,in_window,window_flag,t_obs,primary
A01,DAMA/LIBRA annual modulation,2008,DD,modulation,many (modulation of ~1e4 events),8.2,,likely,new,contradicted,10.0,independent_expt,no,certain,"DAMA/NaI 1998 -> DAMA/LIBRA 2008 (~8 sigma), 12.9 sigma by 2018; same-target NaI(Tl) tests COSINE-100 (2018 Nature: no DM-compatible excess; later modulation null) and ANAIS-112 (2019-2025, excludes DAMA modulation at >3-4 sigma); cause still unidentified",False,True,False,False,above,10.0,True
A02,CoGeNT low-energy excess and 2.8 sigma modulation,2010,DD,small_excess,hundreds of events < 3 keVee,2.8,,likely,new,background,4.0,reanalysis,yes,certain,modulation claim 2011; surface-event (slow-pulse) leakage; CoGeNT 2014 reanalysis and Davis et al. 2014; excluded by CDMSlite/SuperCDMS/LUX,False,True,False,True,in,4.0,True
A03,CDMS-II silicon three events,2013,DD,few_event,3 (0.7 expected),3.0,,likely,new,statistical,0.5,independent_expt,yes,certain,profile-likelihood p = 0.19 % (~3 sigma) for WIMP+bkg vs bkg; 5.4 % that known backgrounds give >= 3 events; LUX Oct 2013 and SuperCDMS 2014 excluded the region,True,True,False,True,in,0.5,True
A04,CRESST-II excess (Run 32),2011,DD,small_excess,67 accepted events (~30 excess),4.2,,likely,new,background,3.0,calibration_hardware,yes,certain,two maxima at 4.2 and 4.7 sigma; traced to alpha/Pb-recoil backgrounds from the bronze clamps; 2014 upgraded modules showed no excess,False,True,False,False,above,3.0,True
A05,XENON1T electronic-recoil excess,2020,DD,small_excess,285 obs vs 232 exp (53 excess) at 1-7 keV,3.3,,certain,new,contradicted,2.0,independent_expt,yes,certain,"3.3 sigma solar axion, 3.2 sigma tritium alternative; XENONnT 2022 (5x lower ER background) saw no excess; cause never identified (tritium or fluctuation)",False,True,False,True,in,2.0,True
A06,XENON100 annual modulation (ER band),2015,DD,modulation,single-scatter ER events,2.8,,likely,new,statistical,2.0,more_data_same,yes,likely,2.8 sigma periodicity; DAMA-like interpretation excluded at 4.8 sigma in the same paper; 4-year dataset (2017) reduced it to ~1.9 sigma,False,True,False,True,in,2.0,True
A07,EDELWEISS-II five events,2011,DD,few_event,5 (~3 expected),,,unknown,new,statistical,1.0,more_data_same,yes,uncertain,recalled only vaguely; sub-2 sigma; superseded by EDELWEISS-III and the CDMS/EDELWEISS combination; EXCLUDED from primary counts,True,True,False,False,unknown,1.0,False
A08,CDMS-II germanium two events,2009,DD,few_event,2 (0.8 expected),0.7,,likely,new,statistical,1.0,independent_expt,yes,certain,p = 0.23 for >= 2 background events; below the 2.5 sigma window; region excluded by XENON100 2010-2011,True,True,False,False,below,1.0,True
A09,"Cryogenic low-energy excess (CRESST-III, EDELWEISS, SuperCDMS-CPD, NUCLEUS)",2020,DD,small_excess,thousands of events rising below ~200 eV,,,unknown,new,unresolved,,none,yes,certain,"EXCESS workshop 2021; leading hypothesis stress/relaxation artefact, not DM; no significance quoted; censored",False,False,False,False,unknown,6.7000000000000455,True
A10,XENON1T 124Xe double electron capture,2019,DD,small_excess,126 events,4.4,,likely,expected,real,3.0,independent_expt,yes,certain,predicted SM process (half-life 1.8e22 yr); confirmed by XENONnT 2022 and LZ 2024; above the 4 sigma window,False,True,True,False,above,3.0,True
A11,"8B solar-neutrino CEvNS (PandaX-4T 2.64 sigma, XENONnT 2.73 sigma)",2024,DD,small_excess,~3.5 (PandaX-4T) and ~11 (XENONnT) events,2.7,,certain,expected,unresolved,,none,yes,certain,predicted SM rate; two experiments each ~2.7 sigma; not yet 5 sigma as of Sept 2026 to our knowledge; censored,False,False,False,True,in,2.7000000000000455,True
B01,ATLAS/CMS 750 GeV diphoton,2015,collider,small_excess,O(10) excess pairs (ATLAS),3.9,2.1,certain,new,statistical,0.7,more_data_same,yes,certain,"ATLAS 3.9 local / 2.1 global, CMS 2.6 local; gone with 2016 data (ICHEP Aug 2016)",False,True,False,True,in,0.7,True
B02,Fermi-LAT 130 GeV gamma-ray line,2012,astro,line,~50 excess photons,4.6,3.2,likely,new,statistical,1.5,more_data_same,no,certain,"Weniger 2012 on public data; Fermi-LAT 2013: weaker, similar feature in Earth-limb control; absent in Pass 8 (2015); partly instrumental",False,True,False,False,above,1.5,True
B03,"3.5 keV X-ray line (stacked clusters, Andromeda, Perseus)",2014,astro,line,few-% of continuum in stacked spectra,4.4,,likely,new,unresolved,,none,no,certain,"Bulbul et al. 4-5 sigma, Boyarsky et al. 4.4 sigma; Hitomi 2017 Perseus null, Dessert et al. 2020 blank-sky null, disputed; censored; above window",False,False,False,False,above,12.700000000000045,True
B04,BICEP2 B-mode polarisation (r = 0.20),2014,cosmo,small_excess,map-level excess,7.0,,likely,new,artefact,0.9,independent_expt,yes,certain,"Galactic dust; Planck 353 GHz Sept 2014, joint BICEP2/Keck/Planck Jan 2015; above window",False,True,False,False,above,0.9,True
B05,OPERA superluminal neutrinos,2011,neutrino,precision,"~16000 events, 60 ns early",6.0,,certain,new,artefact,0.7,calibration_hardware,yes,certain,loose optical-fibre connector and clock oscillator; ICARUS independent null 2012; above window,False,True,False,False,above,0.7,True
B06,LEP Higgs hint at 115 GeV,2000,collider,few_event,~4 ALEPH candidate events,2.9,,likely,expected,statistical,3.0,reanalysis,no,likely,LEP combination Nov 2000 ~2.9 sigma; final 2003 combination 1.7 sigma; Higgs found at 125 GeV in 2012,True,True,False,True,in,3.0,True
B07,ATLAS/CMS Higgs hints Dec 2011,2011,collider,small_excess,few tens of gamma-gamma / 4l events,3.6,2.3,certain,expected,real,0.6,more_data_same,yes,certain,"ATLAS 3.6 local / 2.3 global at 126 GeV, CMS 2.6 local; discovery July 2012",False,True,True,True,in,0.6,True
B08,CDF top-quark evidence 1994,1994,collider,small_excess,"12 events, 5.7 expected",2.8,,likely,expected,real,0.9,more_data_same,yes,likely,discovery by CDF and D0 in Feb 1995,False,True,True,True,in,0.9,True
B09,IceCube two PeV cascades (2012 data),2013,neutrino,few_event,2,2.8,,likely,expected,real,0.7,more_data_same,no,certain,2.8 sigma above atmospheric expectation; 28 events / 4.1 sigma later in 2013; 5.7 sigma 2014,True,True,True,True,in,0.7,True
B10,IceCube Glashow-resonance candidate (6 PeV),2021,neutrino,few_event,1,2.3,,likely,expected,unresolved,,none,no,likely,"single event detected 2016, published 2021; consistent with SM expectation; a single event cannot be confirmed statistically; censored; below window",True,False,False,False,below,5.7000000000000455,True
B11,KM3NeT KM3-230213A (~220 PeV muon),2025,neutrino,few_event,1,2.7,,likely,expected,unresolved,,none,yes,certain,tension of ~2.5-3 sigma with IceCube/Auger non-observation of a corresponding flux; censored,True,False,False,True,in,1.7000000000000455,True
B12,ANITA anomalous upgoing air-shower events,2016,astro,few_event,"2 (flights 2006, 2014)",,,unknown,new,unresolved,,none,no,certain,steady-source interpretations constrained by IceCube 2020; reflection/artefact hypotheses; PUEO to test; censored,True,False,False,False,unknown,10.700000000000045,True
B13,MiniBooNE low-energy excess,2007,neutrino,small_excess,~130 excess (2009) -> ~460 (2018),3.0,,likely,new,unresolved,,none,no,certain,"~3 sigma by 2009, 4.8 sigma 2018 (6 sigma with LSND); MicroBooNE 2021 saw no electron-like excess; photon-like channel open; censored",False,False,False,True,in,19.700000000000045,True
